time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-11-16T18:14:10.554Z,36.7411,30.0118,71.44,4.3,mb,,75,0.083,0.65,us,us700068vy,2019-11-19T17:30:28.184Z,"8km E of Elmali, Turkey",earthquake,4.5,6.1,0.099,33,reviewed,us,us
2019-11-16T06:23:25.490Z,37.0117,71.7424,135.44,4.5,mb,,88,0.521,0.99,us,us700068rn,2019-11-16T07:13:56.040Z,"28km SSW of Roshtqal'a, Tajikistan",earthquake,5.9,5,0.111,24,reviewed,us,us
2019-11-15T20:49:22.120Z,30.0252,47.7435,10,4.2,mb,,126,5.356,0.83,us,us700068m6,2019-11-19T16:16:46.040Z,"16km W of Umm Qasr, Iraq",earthquake,5.7,1.9,0.215,7,reviewed,us,us
2019-11-15T18:15:14.170Z,37.1503,23.8814,21.01,4.5,mb,,49,1.562,0.8,us,us700068i9,2019-11-16T15:10:56.916Z,"42km ESE of Ydra, Greece",earthquake,4.9,5.5,0.102,32,reviewed,us,us
2019-11-15T07:50:01.932Z,41.479,20.6971,96.4,4.4,mb,,38,1.431,0.81,us,us60006bw1,2019-11-18T11:41:48.407Z,"11km E of Centar Zupa, Macedonia",earthquake,3.1,9.1,0.144,14,reviewed,us,us
2019-11-15T01:51:18.644Z,27.0745,57.8016,10,4.5,mb,,167,2.561,1.1,us,us70006bl7,2019-11-23T03:16:14.040Z,"71km E of Minab, Iran",earthquake,8.2,1.8,0.111,24,reviewed,us,us
2019-11-14T09:23:33.027Z,36.4232,71.5238,87.86,5.2,mb,,59,1.11,0.96,us,us60006bff,2019-11-14T16:26:42.748Z,"28km S of Ashkasham, Afghanistan",earthquake,7.3,6.4,0.057,102,reviewed,us,us
2019-11-13T17:57:47.390Z,27.747,53.0882,10,4.3,mb,,46,3.949,1.32,us,us60006b67,2019-11-21T21:38:32.040Z,"94km SSW of Jahrom, Iran",earthquake,6.4,1.8,0.086,38,reviewed,us,us
2019-11-13T16:28:21.763Z,27.7449,53.0345,10,4.3,mb,,83,3.982,0.59,us,us60006b3t,2019-11-13T22:16:53.040Z,"97km SSW of Jahrom, Iran",earthquake,8.3,1.9,0.113,22,reviewed,us,us
2019-11-13T05:29:04.768Z,36.67,70.967,225.6,4.3,mb,,99,1.021,0.52,us,us60006az0,2019-11-19T08:05:03.040Z,"24km SSE of Jarm, Afghanistan",earthquake,8.1,8.4,0.161,11,reviewed,us,us
2019-11-12T14:01:49.618Z,37.7933,69.9641,10,4.3,mb,,86,0.659,0.51,us,us60006an5,2019-11-20T20:45:35.040Z,"20km SE of Kulob, Tajikistan",earthquake,5.7,1.9,0.177,9,reviewed,us,us
2019-11-12T13:18:25.082Z,27.1582,57.7747,10,4.1,mb,,96,2.617,0.75,us,us60006amw,2019-11-20T16:52:33.351Z,"68km E of Minab, Iran",earthquake,9,1.9,0.12,21,reviewed,us,us
2019-11-12T08:25:21.507Z,27.1681,57.7985,10,4.7,mb,,100,2.637,1.32,us,us60006ajd,2019-11-12T08:55:50.040Z,"71km E of Minab, Iran",earthquake,4.8,1.9,0.075,55,reviewed,us,us
2019-11-12T06:01:01.489Z,27.2047,54.8563,10,4.2,mb,,102,2.555,1.25,us,us60006ai1,2019-11-18T14:49:58.040Z,"71km N of Bandar-e Lengeh, Iran",earthquake,6,1.9,0.136,15,reviewed,us,us
2019-11-12T02:00:29.361Z,30.1118,80.2957,35.68,4.3,mb,,118,6.094,0.98,us,us60006ag4,2019-11-12T03:21:09.687Z,"36km NW of Dharchula, India",earthquake,8,9,0.133,16,reviewed,us,us
2019-11-11T10:52:47.350Z,44.6346,4.6679,10,4.8,mww,,34,0.65,1.11,us,us60006a6i,2019-11-14T18:04:28.040Z,"5km WNW of Meysse, France",earthquake,3.2,1.8,0.068,21,reviewed,us,us
2019-11-11T00:58:43.261Z,38.4497,45.3245,10,4,mb,,75,1.755,1.02,us,us60006a3k,2019-11-11T04:35:40.891Z,"34km ESE of Khvoy, Iran",earthquake,6.5,2,0.143,13,reviewed,us,us
2019-11-11T00:12:32.874Z,27.1501,57.7745,38.37,4,mb,,132,2.61,0.64,us,us60006a36,2019-11-11T08:24:52.421Z,"68km E of Minab, Iran",earthquake,9.6,14,0.13,16,reviewed,us,us
2019-11-10T16:02:12.852Z,27.9215,56.3729,10,4.6,mb,,67,2.968,0.77,us,us60006a04,2019-11-17T18:59:03.040Z,"81km N of Bandar 'Abbas, Iran",earthquake,8.7,1.9,0.071,59,reviewed,us,us
2019-11-10T02:13:47.874Z,37.8119,47.5142,10,4.8,mb,,114,2.726,1.1,us,us600069v0,2019-11-10T04:25:48.726Z,"55km NE of Hashtrud, Iran",earthquake,6,1.9,0.059,87,reviewed,us,us
2019-11-08T13:51:47.634Z,37.8121,47.4789,10,4.7,mb,,61,2.709,1.41,us,us6000696k,2019-11-08T21:08:15.006Z,"52km NE of Hashtrud, Iran",earthquake,7.4,1.9,0.083,44,reviewed,us,us
